#{"t_start": 1626876523.0929513, "env_id": "CartPole-v1"}
r,l,t
1.0,1,3.031463
1.0,1,3.034308
1.0,1,3.036969
1.0,1,3.039541
1.0,1,3.042147
1.0,1,3.044755
1.0,1,3.047391
1.0,1,3.049981
1.0,1,3.052625
1.0,1,3.055185
1.0,1,3.057608
1.0,1,3.060098
1.0,1,3.062501
1.0,1,3.065742
1.0,1,3.068159
1.0,1,3.070553
1.0,1,3.072947
1.0,1,3.075371
1.0,1,3.077766
1.0,1,3.080158
1.0,1,3.082561
1.0,1,3.084949
1.0,1,3.087356
1.0,1,3.08973
1.0,1,3.092129
1.0,1,3.09453
1.0,1,3.096897
1.0,1,3.099301
1.0,1,3.101686
1.0,1,3.104088
1.0,1,3.106558
1.0,1,3.108907
1.0,1,3.11134
1.0,1,3.113728
1.0,1,3.116125
1.0,1,3.118529
1.0,1,3.120913
1.0,1,3.123313
1.0,1,3.125713
1.0,1,3.128124
1.0,1,3.130492
1.0,1,3.132873
1.0,1,3.135261
1.0,1,3.137623
1.0,1,3.140018
1.0,1,3.142406
1.0,1,3.144774
1.0,1,3.147164
1.0,1,3.149542
1.0,1,3.151938
1.0,1,3.154345
1.0,1,3.156711
1.0,1,3.159096
1.0,1,3.161488
1.0,1,3.164006
1.0,1,3.16657
1.0,1,3.168922
1.0,1,3.171307
1.0,1,3.173663
1.0,1,3.176056
1.0,1,3.178439
1.0,1,3.180785
1.0,1,3.183165
1.0,1,3.185531
1.0,1,3.187927
1.0,1,3.190318
1.0,1,3.192682
1.0,1,3.19505
1.0,1,3.197424
1.0,1,3.199809
1.0,1,3.202203
1.0,1,3.204643
1.0,1,3.207026
1.0,1,3.209393
1.0,1,3.212384
1.0,1,3.214951
1.0,1,3.217348
1.0,1,3.21974
1.0,1,3.222131
1.0,1,3.2245
1.0,1,3.226876
1.0,1,3.229232
1.0,1,3.23161
1.0,1,3.233972
1.0,1,3.236355
1.0,1,3.238729
1.0,1,3.241184
1.0,1,3.243568
1.0,1,3.245934
1.0,1,3.248441
1.0,1,3.250821
1.0,1,3.253181
1.0,1,3.255557
1.0,1,3.25792
1.0,1,3.260489
1.0,1,3.262835
1.0,1,3.26574
1.0,1,3.268209
1.0,1,3.27174
1.0,1,3.274311
1.0,1,3.27683
1.0,1,3.279291
1.0,1,3.281704
1.0,1,3.284123
1.0,1,3.286537
1.0,1,3.288921
1.0,1,3.291414
1.0,1,3.293786
1.0,1,3.296198
1.0,1,3.298602
1.0,1,3.300999
1.0,1,3.303398
1.0,1,3.305773
1.0,1,3.308176
1.0,1,3.310563
1.0,1,3.312972
1.0,1,3.315383
1.0,1,3.31779
1.0,1,3.3202
1.0,1,3.322624
1.0,1,3.325022
1.0,1,3.327427
1.0,1,3.329817
1.0,1,3.332215
1.0,1,3.334625
1.0,1,3.337013
1.0,1,3.339417
1.0,1,3.34179
1.0,1,3.344187
1.0,1,3.3466
1.0,1,3.34898
1.0,1,3.351386
1.0,1,3.353763
1.0,1,3.356188
1.0,1,3.358596
1.0,1,3.36101
1.0,1,3.363426
1.0,1,3.366
1.0,1,3.368405
1.0,1,3.37081
1.0,1,3.373283
1.0,1,3.375687
1.0,1,3.378063
1.0,1,3.380539
1.0,1,3.382948
1.0,1,3.385329
1.0,1,3.387793
1.0,1,3.390181
1.0,1,3.392589
1.0,1,3.394998
1.0,1,3.397413
1.0,1,3.399828
1.0,1,3.402266
1.0,1,3.404634
1.0,1,3.407061
1.0,1,3.409427
1.0,1,3.411822
1.0,1,3.414236
1.0,1,3.416621
1.0,1,3.419021
1.0,1,3.421397
1.0,1,3.423826
1.0,1,3.426213
1.0,1,3.428599
1.0,1,3.431055
1.0,1,3.433424
1.0,1,3.435829
1.0,1,3.438207
1.0,1,3.440574
1.0,1,3.442966
1.0,1,3.445353
1.0,1,3.447816
1.0,1,3.450137
1.0,1,3.452554
1.0,1,3.45496
1.0,1,3.457322
1.0,1,3.459717
1.0,1,3.462121
1.0,1,3.464612
1.0,1,3.467712
1.0,1,3.470222
1.0,1,3.47276
1.0,1,3.47524
1.0,1,3.477693
1.0,1,3.480265
1.0,1,3.482736
1.0,1,3.485199
1.0,1,3.487725
1.0,1,3.490217
1.0,1,3.492691
1.0,1,3.49567
1.0,1,3.498478
1.0,1,3.501348
1.0,1,3.50426
1.0,1,3.507145
1.0,1,3.509995
1.0,1,3.512923
1.0,1,3.515802
1.0,1,3.518624
1.0,1,3.521447
1.0,1,3.524331
1.0,1,3.527186
1.0,1,3.529915
1.0,1,3.532825
1.0,1,3.535647
1.0,1,3.538436
1.0,1,3.541234
1.0,1,3.54405
1.0,1,3.546952
1.0,1,3.549893
1.0,1,3.552891
1.0,1,3.55591
1.0,1,3.558886
1.0,1,3.561856
1.0,1,3.565006
1.0,1,3.567863
1.0,1,3.570702
1.0,1,3.573494
1.0,1,3.576378
1.0,1,3.579213
1.0,1,3.582232
1.0,1,3.585128
1.0,1,3.588043
